Metadata_plate_barcode,Metadata_reference_control_type,Metadata_control_type,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
localhost240926150001,positive,negative,0.9776433383241786,0.013986013986013986,0.055944055944055944,True,False
localhost240926150001,positive,positive,0.8365983486688235,0.011988011988011988,0.055944055944055944,True,False
localhost240927060001,positive,negative,0.9622928956859166,0.058941058941058944,0.11988011988011989,False,False
localhost240927060001,positive,positive,0.716788449952049,0.5854145854145855,0.5854145854145855,False,False
localhost240927120001,positive,negative,0.9619431837021322,0.059940059940059943,0.11988011988011989,False,False
localhost240927120001,positive,positive,0.7517892048255509,0.34065934065934067,0.4542124542124542,False,False
localhost240928120001,positive,negative,0.9568085844493408,0.08691308691308691,0.13906093906093905,False,False
localhost240928120001,positive,positive,0.7387602074030369,0.4275724275724276,0.48865420293991724,False,False
