Metadata_plate_barcode,Metadata_reference_control_type,Metadata_control_type,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
localhost240926150001,negative,negative,0.6693629519346623,0.8831168831168831,0.9660339660339661,False,False
localhost240926150001,negative,positive,0.8613986338810525,0.8191808191808192,0.9660339660339661,False,False
localhost240927060001,negative,negative,0.6581416194752336,0.919080919080919,0.9660339660339661,False,False
localhost240927060001,negative,positive,0.9163460043037535,0.4035964035964036,0.9660339660339661,False,False
localhost240927120001,negative,negative,0.6375068292374101,0.9660339660339661,0.9660339660339661,False,False
localhost240927120001,negative,positive,0.9360334700293081,0.23876123876123875,0.9660339660339661,False,False
localhost240928120001,negative,negative,0.6770044340419424,0.8421578421578422,0.9660339660339661,False,False
localhost240928120001,negative,positive,0.9284323322041181,0.28771228771228774,0.9660339660339661,False,False
