pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.3565239200575789,UCD-0159261,Healthy,Others
0.2406679210314451,UCD-0159261,Healthy,Others
0.2516030784565248,UCD-0159261,Healthy,Others
0.21560152455633325,UCD-0159261,Healthy,Others
0.2251412077308753,UCD-0159261,Healthy,Others
0.3586372238296634,UCD-0159261,Healthy,Others
0.35438252461942216,UCD-0159261,Healthy,Others
0.3463366104142604,UCD-0159261,Healthy,Others
0.33083036597087323,UCD-0159261,Healthy,Others
0.34505934651403,UCD-0159261,Healthy,Others
0.35411789471138755,UCD-0159261,Healthy,Others
0.3220554824384049,UCD-0159261,Healthy,Others
0.32431587554544494,UCD-0159261,Healthy,Others
0.2660521578765763,UCD-0159261,Healthy,Others
0.24251877475962497,UCD-0159261,Healthy,Others
0.22325234044370013,UCD-0159261,Healthy,Others
0.21451226993208378,UCD-0159261,Healthy,Others
0.3891248129265044,UCD-0159262,Healthy,Others
0.3177086881687123,UCD-0159262,Healthy,Others
0.37930344687894907,UCD-0159262,Healthy,Others
0.3410983643306085,UCD-0159262,Healthy,Others
0.3802403536869473,UCD-0159262,Healthy,Others
0.36513471622426635,UCD-0159262,Healthy,Others
0.39465415788439895,UCD-0159262,Healthy,Others
0.3629794676403517,UCD-0159262,Healthy,Others
0.4149947490331275,UCD-0159262,Healthy,Others
0.3938053779090558,UCD-0159262,Healthy,Others
0.405638565754036,UCD-0159262,Healthy,Others
0.40855144477726146,UCD-0159262,Healthy,Others
0.25502058475413464,UCD-0159262,Healthy,Others
0.25544928116601545,UCD-0159262,Healthy,Others
0.23467606205870375,UCD-0159262,Healthy,Others
