pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.012816827961158512,UCD-0018207,Healthy,Neuronal Signaling
-0.0980066416162287,UCD-0018207,Healthy,Neuronal Signaling
0.06409084317202393,UCD-0018207,Healthy,Neuronal Signaling
-0.021086826151685712,UCD-0018207,Healthy,Neuronal Signaling
0.03545226502323075,UCD-0018207,Healthy,Neuronal Signaling
-0.1077984480040125,UCD-0018207,Healthy,Neuronal Signaling
0.04275547806083163,UCD-0018207,Healthy,Neuronal Signaling
-0.11541879960838365,UCD-0018207,Healthy,Neuronal Signaling
-0.05203254799780398,UCD-0018207,Healthy,Neuronal Signaling
-0.15126541872200955,UCD-0018207,Healthy,Neuronal Signaling
0.0035804970811167676,UCD-0018207,Healthy,Neuronal Signaling
-0.17820069580841474,UCD-0018207,Healthy,Neuronal Signaling
-0.06714760949430736,UCD-0018207,Healthy,Neuronal Signaling
-0.1575201660161121,UCD-0018207,Healthy,Neuronal Signaling
-0.026360565985205354,UCD-0018207,Healthy,Neuronal Signaling
-0.28873376718266386,UCD-0018207,Healthy,Neuronal Signaling
-0.20331951872563217,UCD-0018207,Healthy,Neuronal Signaling
-0.27497434829398615,UCD-0018207,Healthy,Neuronal Signaling
-0.14137999864487882,UCD-0018207,Healthy,Neuronal Signaling
0.11488121929946218,UCD-0018207,Healthy,Neuronal Signaling
0.23734047350719098,UCD-0018207,Healthy,Neuronal Signaling
0.1510529059962239,UCD-0018207,Healthy,Neuronal Signaling
0.21640447488456735,UCD-0018207,Healthy,Neuronal Signaling
0.2649670070920683,UCD-0018207,Healthy,Neuronal Signaling
0.3548567278229767,UCD-0018207,Healthy,Neuronal Signaling
0.30211466978836005,UCD-0018207,Healthy,Neuronal Signaling
0.3443430015189253,UCD-0018207,Healthy,Neuronal Signaling
0.2831900820483556,UCD-0018207,Healthy,Neuronal Signaling
0.37407946666108516,UCD-0018207,Healthy,Neuronal Signaling
0.28000680542877265,UCD-0018207,Healthy,Neuronal Signaling
0.4262905953922632,UCD-0018207,Healthy,Neuronal Signaling
0.24800088812108068,UCD-0018207,Healthy,Neuronal Signaling
0.35276973231115855,UCD-0018207,Healthy,Neuronal Signaling
0.335756896227239,UCD-0018207,Healthy,Neuronal Signaling
0.3880461879565418,UCD-0018207,Healthy,Neuronal Signaling
0.2328907732981202,UCD-0018207,Healthy,Neuronal Signaling
0.29468814951084504,UCD-0018207,Healthy,Neuronal Signaling
0.19446350298557724,UCD-0018207,Healthy,Neuronal Signaling
0.3091476653375074,UCD-0018207,Healthy,Neuronal Signaling
0.0593639604521917,UCD-0018207,Healthy,Neuronal Signaling
0.1458839839515231,UCD-0018207,Healthy,Neuronal Signaling
0.06436196698025,UCD-0018207,Healthy,Neuronal Signaling
0.16489791359679556,UCD-0018207,Healthy,Neuronal Signaling
0.015840661922558043,UCD-0018207,Healthy,Neuronal Signaling
0.09969660588654337,UCD-0018207,Healthy,Neuronal Signaling
0.003976173677620284,UCD-0018207,Healthy,Neuronal Signaling
0.15864041362942924,UCD-0018207,Healthy,Neuronal Signaling
-0.03259439311042877,UCD-0018207,Healthy,Neuronal Signaling
-0.022727181748726608,UCD-0018207,Healthy,Neuronal Signaling
-0.14728236061023814,UCD-0018207,Healthy,Neuronal Signaling
0.09743144224465336,UCD-0018207,Healthy,Neuronal Signaling
0.33527737185601364,UCD-0159256,Healthy,Apoptosis
0.23911072276213993,UCD-0159256,Healthy,Apoptosis
0.3256112966780521,UCD-0159256,Healthy,Apoptosis
0.34980880501794265,UCD-0159256,Healthy,Apoptosis
0.36543850015310253,UCD-0159256,Healthy,Apoptosis
0.25668972287643316,UCD-0159256,Healthy,Apoptosis
0.3546430347902398,UCD-0159256,Healthy,Apoptosis
0.3631951216584167,UCD-0159256,Healthy,Apoptosis
0.41409940948788265,UCD-0159256,Healthy,Apoptosis
0.3215614427168663,UCD-0159256,Healthy,Apoptosis
0.45003533994495426,UCD-0159256,Healthy,Apoptosis
0.45065670180552125,UCD-0159256,Healthy,Apoptosis
0.5263647194443156,UCD-0159256,Healthy,Apoptosis
0.44031720389201734,UCD-0159256,Healthy,Apoptosis
0.5618429630905664,UCD-0159256,Healthy,Apoptosis
0.5506787392173351,UCD-0159256,Healthy,Apoptosis
0.4124099037216004,UCD-0159256,Healthy,Apoptosis
0.348903743718459,UCD-0159256,Healthy,Apoptosis
0.3796846379232855,UCD-0159256,Healthy,Apoptosis
0.4592348395247866,UCD-0159256,Healthy,Apoptosis
0.3100340378583294,UCD-0159256,Healthy,Apoptosis
0.22483108190036064,UCD-0159256,Healthy,Apoptosis
0.2718295317510452,UCD-0159256,Healthy,Apoptosis
0.3069740613162867,UCD-0159256,Healthy,Apoptosis
0.37803849732260264,UCD-0159256,Healthy,Apoptosis
0.310962679074268,UCD-0159256,Healthy,Apoptosis
0.4125751185312615,UCD-0159256,Healthy,Apoptosis
0.40473205099336496,UCD-0159256,Healthy,Apoptosis
0.3567634063483834,UCD-0159256,Healthy,Apoptosis
0.37178648048837715,UCD-0159256,Healthy,Apoptosis
0.37090690023783546,UCD-0159256,Healthy,Apoptosis
0.37381492861572485,UCD-0159256,Healthy,Apoptosis
0.3390396666236179,UCD-0159256,Healthy,Apoptosis
0.22314530159063298,UCD-0159256,Healthy,Apoptosis
0.4429765249643902,UCD-0159256,Healthy,Apoptosis
0.4215904335695577,UCD-0159256,Healthy,Apoptosis
0.42068777693450454,UCD-0159256,Healthy,Apoptosis
0.32835567682659095,UCD-0159256,Healthy,Apoptosis
0.42847734955606276,UCD-0159256,Healthy,Apoptosis
0.3781699649147811,UCD-0159256,Healthy,Apoptosis
0.4611132518596947,UCD-0159256,Healthy,Apoptosis
0.392103286068534,UCD-0159256,Healthy,Apoptosis
0.538448602425911,UCD-0159256,Healthy,Apoptosis
0.4635156299501571,UCD-0159256,Healthy,Apoptosis
0.138160105442333,UCD-0159256,Healthy,Apoptosis
0.12108684626901038,UCD-0159256,Healthy,Apoptosis
0.32080003628779347,UCD-0159256,Healthy,Apoptosis
