Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S7832,UCD-0001944,SGC707,L2000-06,F11,L2000-09,G03,298.34,1687736-54-4,Histone Methyltransferase,"SGC707 is a potent, selective and cell-active allosteric inhibitor of protein arginine methyltransferase 3 (PRMT3) with IC50 and Kd of 31 nM and 53 nM, respectively.",Epigenetics
S7457,UCD-0159665,XEN445,L2000-06,G02,L2000-09,G04,366.33,1515856-92-4,Lipase,"XEN445 is a potent and selective <b>endothelial lipase</b> inhibitor with <b>IC50</b> of 0.237 μM. 
",Others
S7500,UCD-0159535,HJC0350,L2000-06,G03,L2000-09,G05,277.38,885434-70-8,cAMP,"HJC0350 is a potent and selective EPAC2 inhibitor with IC50 of 0.3 μM, exhibiting no inhibition on Epac1.
",Others
S7525,UCD-0159543,XMD8-92,L2000-06,G04,L2000-09,G06,474.55,1234480-50-2,ERK,"XMD8-92 is a potent and selective BMK1/ERK5 inhibitor with Kd of 80 nM.
",MAPK
S7544,UCD-0159550,Vacquinol-1,L2000-06,G05,L2000-09,G07,425.78,5428-80-8（free base）,JNK,"Vacquinol-1 is an MKK4 activator, which rapidly and selectively induces glioma cell death. ",MAPK
S7593,UCD-0159558,Splitomicin,L2000-06,G06,L2000-09,G08,198.22,5690-03-9,Sirtuin,"Splitomicin is a selective <b>NAD(+)-dependent histone deacetylase Sir2p</b> inhibitor with <b>IC50</b> of 60 μM, showing a higher activity in a cell-based assay.
",Cytoskeletal Signaling
S7625,UCD-0159566,Niraparib (MK-4827) tosylate,L2000-06,G07,L2000-09,G09,492.59,1038915-73-9,PARP,MK-4827(Niraparib) tosylate is a selective inhibitor of PARP1/PARP2 with IC50 of 3.8 nM/2.1 nM.,DNA Damage
S7680,UCD-0159574,SP2509,L2000-06,G08,L2000-09,G10,437.90,1423715-09-6,Histone Demethylase,"SP2509 is a selective <b>histone demethylase LSD1</b> inhibitor with <b>IC50</b> of  13 nM, showing no activity against MAO-A, MAO-B, lactate dehydrogenase and glucose oxidase. 
",Epigenetics
S7705,UCD-0159582,A-438079 HCl,L2000-06,G09,L2000-09,G11,342.61,899431-18-6,P2 Receptor,"A-438079 HCl is a potent, and selective <b>P2X7 receptor</b> antagonist with <b>pIC50</b> of 6.9.
",Neuronal Signaling
DMSO,,DMSO,L2000-06,A12,L2000-10,B02,,,,,
S7748,UCD-0159253,EPZ015666(GSK3235025),L2000-06,G10,L2000-10,B03,383.44,1616391-65-1,Histone Methyltransferase,"EPZ015666 is a potent, selective and orally bioavailable <b>PRMT5</b> inhibitor with <b>K<sub>i</sub></b> of 5 nM, >20,000-fold selectivity over other PMTs. 

",Epigenetics
S7834,UCD-0159596,Cyclo (-RGDfK),L2000-06,G11,L2000-10,B04,717.69,161552-03-0,Integrin,"Cyclo (-RGDfK) is a potent and selective <b>αvβ3 integrin</b> inhibitor.
",Cytoskeletal Signaling
DMSO,,DMSO,L2000-06,B12,L2000-10,B05,,,,,
S7460,UCD-0159528,BTB06584,L2000-06,H02,L2000-10,B06,417.82,219793-45-0,ATPase,"BTB06584 is an IF1-dependent, selective inhibitor of the mitochondrial F1 Fo-ATPase.",Transmembrane Transporters
S7501,UCD-0159536,HO-3867,L2000-06,H03,L2000-10,B07,464.55,1172133-28-6,STAT,"HO-3867, an analog of curcumin, is a selective STAT3 inhibitor.
",JAK/STAT
DMSO,,DMSO,L2000-06,C12,L2000-10,B08,,,,,
S7526,UCD-0159544,GNF-5,L2000-06,H04,L2000-10,B09,418.37,778277-15-9,Bcr-Abl,GNF-5 is a selective and allosteric Bcr-Abl inhibitor with IC50 of 220 nM. ,Angiogenesis
S7555,UCD-0159551,4SC-202,L2000-06,H05,L2000-10,B10,447.51,910462-43-0,HDAC,"4SC-202 is a selective class I <b>HDAC</b> inhibitor with <b>IC50</b> of 1.20 μM, 1.12 μM, and 0.57 μM for HDAC1, HDAC2, and HDAC3, respectively. Also displays inhibitory activity against <b>Lysine specific demethylase 1 (LSD1)</b>. Phase 1.
",Epigenetics
DMSO,,DMSO,L2000-06,D12,L2000-10,B11,,,,,
S7595,UCD-0159559,Santacruzamate A (CAY10683),L2000-06,H06,L2000-10,C02,278.35,1477949-42-0,HDAC,"Santacruzamate A (CAY10683) is a potent and selective HDAC inhibitor with IC50 of 119 pM for HDAC2, >3600-fold selectivity over other HDACs. 
",DNA Damage
S7631,UCD-0159567,TH287,L2000-06,H07,L2000-10,C03,269.13,1609960-30-6,MTH1,"TH287 is a potent and selective <b>MTH1 (NUDT1)</b> inhibitor with <b>IC50</b> of 0.8 nM.
",Others
S7683,UCD-0159575,PIK-III,L2000-06,H08,L2000-10,C04,319.36,1383716-40-2,"Autophagy,PI3K","PIK-III, which is a selective inhibitor of ​VPS34 enzymatic activity, inhibits autophagy and de novo lipidation of LC3 and leads to the stabilization of autophagy substrates.",Autophagy
S7709,UCD-0159583,VX-11e ,L2000-06,H09,L2000-10,C05,500.35,896720-20-0,ERK,"VX-11e is a potent, selective, and orally bioavailable ERK2 inhibitor with Ki of <2 nM, over 200-fold selective over other kinases tested. ",MAPK
S7753,UCD-0159590,BPTES,L2000-06,H10,L2000-10,C06,524.68,314045-39-1,Glutaminase,"BPTES is a potent and selective <b>Glutaminase GLS1 (KGA)</b> inhibitor with <b>IC50</b> of 0.16 μM.
",Others
S7835,UCD-0159597,I-BRD9,L2000-06,H11,L2000-10,C07,497.55,1714146-59-4,Epigenetic Reader Domain,"I-BRD9 (GSK602) is a potent and selective BRD9 inhibitor with pIC50 of 7.3, while it displayed a pIC50 of 5.3 against BRD4.",Epigenetics
S7839,UCD-0159598,Endoxifen HCl,L2000-07,A02,L2000-10,C08,409.95,1032008-74-4,Estrogen/progestogen Receptor,"Endoxifen HCl, the active metabolite of Tamoxifen, ia a potent and selective <b>estrogen receptor</b> antagonist. Phase 2.
",Endocrinology & Hormones
S7886,UCD-0159605,CC-223,L2000-07,A03,L2000-10,C09,397.47,1228013-30-6,mTOR,"CC-223 is a potent, selective, and orally bioavailable mTOR inhibitor with IC50 of 16 nM, >200-fold selectivity over the related PI3K-α. Phase 1/2.",PI3K/Akt/mTOR
S7936,UCD-0159612,KD025 (SLx-2119),L2000-07,A04,L2000-10,C10,452.51,911417-87-3,ROCK,"KD025 is an orally available, and selective ROCK2 inhibitor with IC50 and Ki of 60 nM and 41 nM, respectively. Phase 2.",Cell Cycle
