Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S7964,UCD-0159618,PLX7904,L2000-07,G04,L2000-11,D02,512.53,1393465-84-3,Raf,"PLX7904, also known as PB04, is a potent and selective paradox-breaker RAF inhibitor. It is able to efficiently inhibit activation of ERK1/2 in mutant BRAF melanoma cells but does not hyperactivate ERK1/2 in mutant RAS-expressing cells.",MAPK
S8018,UCD-0159626,PF-03084014 (PF-3084014),L2000-07,G05,L2000-11,D03,489.64,1290543-63-3,Gamma-secretase,"PF-03084014 (PF-3084014) is a selective <b>gamma-secretase</b> inhibitor with <b>IC50</b> of 6.2 nM in a cell-free assay. Phase 2.
",Neuronal Signaling
S8039,UCD-0159634,PU-H71,L2000-07,G06,L2000-11,D04,512.37,873436-91-0,HSP (e.g. HSP90),PU-H71 is a potent and selective inhibitor of HSP90 with IC50 of 51 nM. Phase 1.,Cytoskeletal Signaling
S8072,UCD-0159642,NSC 405020,L2000-07,G07,L2000-11,D05,260.16,7497-07-6,MMP,"NSC 405020 is a noncatalytic inhibitor of MT1-MMP, directly interacts with PEX domain of MT1-MMP, affects PEX homodimerization but not catalytic activity of MT1-MMP.",Proteases
S8114,UCD-0159648,ICI-118551 Hydrochloride,L2000-07,G08,L2000-11,D06,313.86,1217094-53-5,Adrenergic Receptor,"ICI-118551 is a highly selective β2-adrenergic receptor antagonist with Ki values of 0.7, 49.5 and 611 nM for β2, β1 and β3 receptors, respectively.",GPCR & G Protein
S8183,UCD-0159656,Pimavanserin ,L2000-07,G09,L2000-11,D07,1005.2,706782-28-7,5-HT Receptor,"Pimavanserin is a potent and selective serotonin 5-HT2A inverse agonist with pIC50 of 8.73, used to treat psychosis associated with Parkinson’s disease.",GPCR & G Protein
S7885,UCD-0159604,SBI-0206965,L2000-07,H02,L2000-11,D08,489.32,NA,Autophagy,"SBI-0206965 is a highly selective autophagy kinase <b>ULK1</b> inhibitor with <b>IC50</b> of 108 nM, about 7-fold selectivity over ULK2. 
",Autophagy
S7931,UCD-0159611,STF-31,L2000-07,H03,L2000-11,D09,423.53,724741-75-7,GLUT1,"STF-31 is a selective glucose transporter <b>GLUT1</b> inhibitor.
",Others
S7974,UCD-0159619,L755507,L2000-07,H04,L2000-11,D10,584.73,159182-43-1,Adrenergic Receptor,"L-755,507 is characterized as a potent and selective β3 adrenergic receptor partial agonist with EC50 of 0.43 nM. It is also recently identified to enhance CRISPR-mediated homology-directed repair (HDR) efficiency in human induced pluripotent stem cells (iPSCs) and other cell types.",GPCR & G Protein
S8020,UCD-0159627,GW0742,L2000-07,H05,L2000-11,D11,471.49,317318-84-6,PPAR,"GW0742 is a potent and highly selective PPARβ/δ agonist, with IC50 of 1 nM, with 1000-fold selectivity over hPPARα and hPPARγ.",Metabolism
DMSO,,DMSO,L2000-07,A12,L2000-11,E02,,,,,
S8041,UCD-0159635,"Cobimetinib (GDC-0973, RG7420)",L2000-07,H06,L2000-11,E03,531.31,934660-93-2,MEK,"Cobimetinib (GDC-0973, RG7420) is a potent and highly selective <b>MEK1</b> inhibitor with <b>IC50</b> of 4.2 nM. Phase 3.
",MAPK
S8076,UCD-0159643,PluriSIn #1 (NSC 14613),L2000-07,H07,L2000-11,E04,213.24,91396-88-2,Dehydrogenase,"PluriSIn #1 is an inhibitor of the stearoyl-coA desaturase 1 (SCD1), which is able to selectively eliminate hPSCs.",Metabolism
DMSO,,DMSO,L2000-07,B12,L2000-11,E05,,,,,
S8116,UCD-0159649,Acalabrutinib (ACP-196),L2000-07,H08,L2000-11,E06,465.51,1420477-60-6,BTK,"Acalabrutinib is a selective second-generation Bruton’s tyrosine kinase (BTK) inhibitor, which prevents the activation of the B-cell antigen receptor (BCR) signaling pathway.",Angiogenesis
S8196,UCD-0159657,ML264,L2000-07,H09,L2000-11,E07,384.88,1550008-55-3,Others,"ML264, a selectively inhibitor of kruppel-like factor 5 (KLF5),potently Inhibits Growth of Colorectal Cancer.",Others
DMSO,,DMSO,L2000-07,C12,L2000-11,E08,,,,,
DMSO,,DMSO,L2000-07,D12,L2000-11,E11,,,,,
