Metadata_plate_barcode,Metadata_reference_control_type,Metadata_control_type,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
localhost240926150001,negative,negative,0.8687677299523111,"[32, 33, 34, 35, 60, 61, 62, 63, 88, 89, 90, 91]",0.5274725274725275,0.6223776223776224,False,False
localhost240926150001,negative,positive,0.9273490931165312,"[0, 1, 2, 3, 28, 29, 30, 31, 56, 57, 58, 59, 84, 85, 86, 87]",0.2967032967032967,0.6223776223776224,False,False
localhost240927060001,negative,negative,0.8520323231410071,"[8, 9, 10, 11, 68, 69, 70, 71, 96, 97, 98, 99]",0.6223776223776224,0.6223776223776224,False,False
localhost240927060001,negative,positive,0.9162970725769057,"[4, 5, 6, 7, 36, 37, 38, 39, 64, 65, 66, 67, 92, 93, 94, 95]",0.4035964035964036,0.6223776223776224,False,False
localhost240927120001,negative,negative,0.8624735879813574,"[16, 17, 18, 19, 44, 45, 46, 47, 104, 105, 106, 107]",0.5614385614385614,0.6223776223776224,False,False
localhost240927120001,negative,positive,0.9353574658556906,"[12, 13, 14, 15, 40, 41, 42, 43, 72, 73, 74, 75, 100, 101, 102, 103]",0.24475524475524477,0.6223776223776224,False,False
localhost240928120001,negative,negative,0.8975764374518705,"[24, 25, 26, 27, 52, 53, 54, 55, 80, 81, 82, 83]",0.3306693306693307,0.6223776223776224,False,False
localhost240928120001,negative,positive,0.9208301011925779,"[20, 21, 22, 23, 48, 49, 50, 51, 76, 77, 78, 79, 108, 109, 110, 111]",0.34965034965034963,0.6223776223776224,False,False
