Metadata_plate_barcode,Metadata_reference_control_type,Metadata_control_type,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
localhost240926150001,positive,negative,0.9732021651562215,"[0, 1, 2, 3, 32, 33, 34, 35, 60, 61, 62, 63, 88, 89, 90, 91]",0.02197802197802198,0.15984015984015984,True,False
localhost240926150001,positive,positive,0.8202774751245528,"[28, 29, 30, 31, 56, 57, 58, 59, 84, 85, 86, 87]",0.7982017982017982,0.8681318681318682,False,False
localhost240927060001,positive,negative,0.9634023422360952,"[8, 9, 10, 11, 36, 37, 38, 39, 68, 69, 70, 71, 96, 97, 98, 99]",0.055944055944055944,0.15984015984015984,False,False
localhost240927060001,positive,positive,0.802695029719755,"[4, 5, 6, 7, 64, 65, 66, 67, 92, 93, 94, 95]",0.8681318681318682,0.8681318681318682,False,False
localhost240927120001,positive,negative,0.9619707526795752,"[16, 17, 18, 19, 44, 45, 46, 47, 72, 73, 74, 75, 104, 105, 106, 107]",0.059940059940059943,0.15984015984015984,False,False
localhost240927120001,positive,positive,0.8099824685289331,"[12, 13, 14, 15, 40, 41, 42, 43, 100, 101, 102, 103]",0.8371628371628371,0.8681318681318682,False,False
localhost240928120001,positive,negative,0.9565541137683296,"[24, 25, 26, 27, 52, 53, 54, 55, 80, 81, 82, 83, 108, 109, 110, 111]",0.08691308691308691,0.17382617382617382,False,False
localhost240928120001,positive,positive,0.81498604989121,"[20, 21, 22, 23, 48, 49, 50, 51, 76, 77, 78, 79]",0.8191808191808192,0.8681318681318682,False,False
