Metadata_plate_barcode,Metadata_reference_control_type,Metadata_control_type,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
localhost240926150001,negative,negative,0.8062406694274499,"[32, 33, 34, 35, 60, 61, 62, 63, 88, 89, 90, 91]",0.8581418581418582,0.935064935064935,False,False
localhost240926150001,negative,positive,0.9641042297593052,"[0, 1, 2, 3, 28, 29, 30, 31, 56, 57, 58, 59, 84, 85, 86, 87]",0.05194805194805195,0.11788211788211789,False,False
localhost240927060001,negative,negative,0.7863409530395914,"[8, 9, 10, 11, 68, 69, 70, 71, 96, 97, 98, 99]",0.9240759240759241,0.935064935064935,False,False
localhost240927060001,negative,positive,0.9623433688584636,"[4, 5, 6, 7, 36, 37, 38, 39, 64, 65, 66, 67, 92, 93, 94, 95]",0.058941058941058944,0.11788211788211789,False,False
localhost240927120001,negative,negative,0.7791573053668133,"[16, 17, 18, 19, 44, 45, 46, 47, 104, 105, 106, 107]",0.935064935064935,0.935064935064935,False,False
localhost240927120001,negative,positive,0.9626901061541262,"[12, 13, 14, 15, 40, 41, 42, 43, 72, 73, 74, 75, 100, 101, 102, 103]",0.057942057942057944,0.11788211788211789,False,False
localhost240928120001,negative,negative,0.8040584107027012,"[24, 25, 26, 27, 52, 53, 54, 55, 80, 81, 82, 83]",0.8651348651348651,0.935064935064935,False,False
localhost240928120001,negative,positive,0.9631919644823285,"[20, 21, 22, 23, 48, 49, 50, 51, 76, 77, 78, 79, 108, 109, 110, 111]",0.055944055944055944,0.11788211788211789,False,False
